Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24.0,1237,147,805.0,11,2,82,26.0,1.0,96.0,4.0,2.0,145,3,321,4011.0,8232.0,0.0,1057,18,3,4,80,1,5.0,5,2,4.0,2,1,3
36.0,1237,1054,805.0,9,4,608,27.0,3.0,82.0,2.0,1.0,83,1,457,3407.0,6986.0,7.0,1057,23,4,2,80,0,10.0,4,3,5.0,3,0,3
34.0,1237,1054,805.0,7,4,608,28.0,1.0,53.0,3.0,3.0,80,2,457,11994.0,21293.0,0.0,1057,11,3,3,80,0,13.0,4,3,12.0,6,2,11
21.0,1237,1054,805.0,15,2,608,30.0,3.0,96.0,3.0,1.0,292,4,457,1232.0,19281.0,1.0,1057,14,3,4,80,0,0.0,6,3,0.0,0,0,0
34.0,1237,1054,805.0,6,1,462,31.0,2.0,83.0,3.0,1.0,292,1,457,2960.0,17102.0,2.0,1057,11,3,3,80,0,8.0,2,3,4.0,2,1,3
53.0,1237,1054,805.0,5,3,82,32.0,3.0,58.0,3.0,5.0,102,3,321,17948.0,10735.0,4.0,1057,11,3,4,80,1,26.0,3,2,14.0,13,4,8
32.0,1237,1054,805.0,16,1,608,33.0,2.0,72.0,1.0,1.0,292,1,457,3919.0,4681.0,1.0,413,22,4,2,80,0,10.0,5,3,10.0,2,6,7
42.0,1237,1054,805.0,8,4,159,35.0,3.0,48.0,3.0,2.0,326,2,692,6825.0,21173.0,0.0,1057,11,3,4,80,1,10.0,2,3,9.0,7,4,2
44.0,1237,1054,477.0,7,4,462,36.0,1.0,42.0,2.0,3.0,131,4,692,10248.0,2094.0,3.0,1057,14,3,4,80,1,24.0,4,3,19.5,6,5,17
46.0,1237,1054,705.0,2,4,159,38.0,2.0,83.0,3.0,5.0,102,1,457,17948.0,22822.0,3.0,1057,12,3,4,80,0,22.0,2,2,2.0,2,2,1
33.0,1237,1054,924.0,2,3,462,39.0,3.0,78.0,3.0,1.0,259,4,457,2496.0,6670.0,4.0,1057,11,3,4,80,0,7.0,3,3,1.0,1,0,0
44.0,1237,1054,1459.0,10,4,82,40.0,4.0,41.0,3.0,2.0,131,4,692,6465.0,19121.0,2.0,413,13,3,4,80,0,9.0,5,4,4.0,2,1,3
30.0,1237,1054,125.0,9,2,462,41.0,4.0,83.0,2.0,1.0,259,3,457,2206.0,16117.0,1.0,1057,13,3,1,80,0,10.0,5,3,10.0,0,1,8
39.0,233,1054,895.0,5,3,132,42.0,4.0,56.0,3.0,2.0,83,4,692,2086.0,3335.0,3.0,1057,14,3,3,80,1,19.0,6,4,1.0,0,0,0
24.0,233,1054,813.0,1,3,462,45.0,2.0,61.0,3.0,1.0,292,4,692,2293.0,3020.0,2.0,413,16,3,1,80,1,6.0,2,2,2.0,0,2,0
43.0,1237,1054,1273.0,2,2,462,46.0,4.0,72.0,4.0,1.0,292,3,321,2645.0,21923.0,1.0,1057,12,3,4,80,2,6.0,3,2,5.0,3,1,4
50.0,233,1054,869.0,3,2,159,47.0,1.0,86.0,2.0,1.0,83,3,692,2683.0,3810.0,1.0,413,14,3,3,80,0,3.0,2,3,3.0,2,0,2
35.0,1237,1054,890.0,2,3,159,49.0,4.0,97.0,3.0,1.0,83,4,692,2014.0,9687.0,1.0,1057,13,3,1,80,0,2.0,3,3,2.0,2,2,2
36.0,1237,1054,852.0,5,4,608,51.0,2.0,82.0,2.0,1.0,292,1,692,3419.0,13072.0,9.0,413,14,3,4,80,1,6.0,3,4,1.0,1,0,0
33.0,1237,269,1141.0,1,3,608,52.0,3.0,42.0,4.0,2.0,326,1,692,5376.0,3193.0,2.0,1057,19,3,1,80,2,10.0,3,3,5.0,3,1,3
35.0,1237,1054,464.0,4,2,82,53.0,3.0,75.0,3.0,1.0,259,4,321,1951.0,10910.0,1.0,1057,12,3,3,80,1,1.0,3,3,1.0,0,0,0
27.0,1237,1054,1240.0,2,4,608,54.0,4.0,33.0,3.0,1.0,259,1,321,2341.0,19715.0,1.0,1057,13,3,4,80,1,1.0,6,3,1.0,0,0,0
26.0,233,1054,1357.0,25,3,608,55.0,1.0,48.0,1.0,1.0,259,3,457,2293.0,10558.0,1.0,1057,12,3,3,80,0,1.0,2,2,1.0,0,0,1
27.0,1237,269,994.0,8,3,608,56.0,4.0,37.0,3.0,3.0,326,3,457,8726.0,2975.0,1.0,1057,15,3,4,80,0,9.0,0,3,9.0,8,1,7
30.0,1237,269,721.0,1,2,462,57.0,3.0,58.0,3.0,2.0,259,4,457,4011.0,10781.0,1.0,1057,23,4,4,80,0,12.0,2,3,12.0,8,3,7
41.0,233,1054,1360.0,12,3,132,58.0,2.0,49.0,3.0,5.0,80,3,692,17948.0,16280.0,1.0,1057,12,3,4,80,0,23.0,0,3,19.5,15,15,8
34.0,1237,147,1065.0,23,4,159,60.0,2.0,72.0,3.0,2.0,326,3,457,4568.0,10034.0,0.0,1057,20,4,3,80,0,10.0,2,3,9.0,5,8,7
37.0,1237,1054,408.0,19,2,608,61.0,2.0,73.0,3.0,1.0,292,2,692,3022.0,10227.0,4.0,1057,21,4,1,80,0,8.0,1,3,1.0,0,0,0
46.0,1237,269,1211.0,5,4,159,62.0,1.0,98.0,3.0,2.0,326,4,457,5772.0,20445.0,4.0,413,21,4,3,80,0,14.0,4,3,9.0,6,0,8
35.0,1237,1054,1229.0,8,1,608,63.0,4.0,36.0,4.0,1.0,259,4,692,2269.0,4892.0,1.0,1057,19,3,4,80,0,1.0,2,3,1.0,0,0,1
48.0,233,1054,626.0,1,2,608,64.0,1.0,98.0,2.0,3.0,259,3,457,5381.0,19294.0,9.0,413,13,3,4,80,0,23.0,2,3,1.0,0,0,0
28.0,233,1054,1434.0,5,4,132,65.0,3.0,50.0,3.0,1.0,259,3,457,3441.0,11179.0,1.0,413,13,3,3,80,0,2.0,3,2,2.0,2,2,2
44.0,1237,1054,1488.0,1,5,159,68.0,2.0,75.0,3.0,2.0,326,1,321,5454.0,4009.0,5.0,413,21,4,3,80,1,9.0,2,2,4.0,3,1,3
35.0,1237,147,1097.0,11,2,462,70.0,3.0,79.0,2.0,3.0,131,1,692,9884.0,8302.0,2.0,413,13,3,3,80,1,10.0,3,3,4.0,0,2,3
26.0,1237,1054,1443.0,23,3,159,72.0,3.0,47.0,2.0,2.0,326,4,692,4157.0,21436.0,7.0,413,19,3,3,80,1,5.0,2,2,2.0,2,0,0
33.0,1237,269,515.0,1,2,608,73.0,1.0,98.0,3.0,3.0,80,4,457,13458.0,15146.0,1.0,413,12,3,3,80,0,15.0,1,3,15.0,14,8,12
35.0,1237,269,853.0,18,5,608,74.0,2.0,71.0,3.0,3.0,326,1,692,9069.0,11031.0,1.0,1057,22,4,4,80,1,9.0,3,2,9.0,8,1,8
35.0,1237,1054,1142.0,23,4,462,75.0,3.0,30.0,3.0,1.0,259,1,692,4014.0,16002.0,3.0,413,15,3,3,80,1,4.0,3,3,2.0,2,2,2
31.0,1237,1054,655.0,7,4,608,76.0,4.0,48.0,3.0,2.0,259,4,321,5915.0,9528.0,3.0,1057,22,4,4,80,1,10.0,3,2,7.0,7,1,7
37.0,1237,1054,1115.0,1,4,608,77.0,1.0,51.0,2.0,2.0,145,3,321,5993.0,2689.0,1.0,1057,18,3,3,80,1,7.0,2,4,7.0,5,0,7
32.0,1237,1054,427.0,1,3,462,78.0,1.0,33.0,3.0,2.0,145,4,692,6162.0,10877.0,1.0,413,22,4,2,80,1,9.0,3,3,9.0,8,7,8
38.0,1237,269,653.0,29,5,608,79.0,4.0,50.0,3.0,2.0,259,4,457,2406.0,5456.0,1.0,1057,11,3,4,80,0,10.0,2,3,10.0,3,9,9
50.0,1237,1054,989.0,7,2,462,80.0,2.0,43.0,2.0,5.0,80,3,321,17948.0,16701.0,5.0,413,12,3,4,80,1,29.0,2,2,19.5,3,13,8
59.0,1237,1054,1435.0,25,3,608,81.0,1.0,99.0,3.0,3.0,326,1,457,7637.0,2354.0,7.0,1057,11,3,4,80,0,28.0,3,2,19.5,16,7,9
36.0,1237,1054,1223.0,8,3,132,83.0,3.0,59.0,3.0,3.0,131,3,321,10096.0,8202.0,1.0,1057,13,3,2,80,3,17.0,2,3,17.0,14,12,8
55.0,1237,1054,836.0,8,3,462,84.0,4.0,33.0,3.0,4.0,102,3,321,14756.0,19730.0,2.0,413,14,3,3,80,3,21.0,2,3,5.0,0,0,2
36.0,1237,269,1195.0,11,3,608,85.0,2.0,95.0,2.0,2.0,145,2,457,6499.0,22656.0,1.0,1057,13,3,3,80,0,6.0,3,3,6.0,5,0,3
45.0,1237,1054,1339.0,7,3,608,86.0,2.0,59.0,3.0,3.0,292,1,321,9724.0,18787.0,2.0,1057,17,3,3,80,1,25.0,2,3,1.0,0,0,0
35.0,1237,269,664.0,1,3,462,88.0,2.0,79.0,3.0,1.0,292,1,692,2194.0,5868.0,4.0,1057,13,3,4,80,1,5.0,2,2,3.0,2,1,2
36.0,233,1054,318.0,9,3,462,90.0,4.0,79.0,2.0,1.0,292,3,692,3388.0,21777.0,0.0,413,17,3,1,80,1,2.0,0,2,1.0,0,0,0
37.0,1237,269,1225.0,1,1,608,91.0,1.0,57.0,2.0,2.0,326,3,457,5473.0,24668.0,7.0,1057,11,3,4,80,0,20.0,2,2,4.0,3,1,3
37.0,1237,1054,1328.0,2,3,608,94.0,3.0,76.0,3.0,1.0,292,2,692,2703.0,4956.0,0.0,1057,23,4,4,80,1,6.0,3,3,5.0,4,0,4
37.0,1237,1054,1082.0,1,4,462,95.0,3.0,87.0,3.0,1.0,292,2,457,2501.0,18775.0,1.0,1057,17,3,2,80,0,1.0,4,3,1.0,1,1,0
32.0,1237,1054,548.0,1,3,608,96.0,2.0,66.0,3.0,2.0,292,2,692,6220.0,7346.0,1.0,1057,17,3,2,80,2,10.0,3,3,10.0,4,0,9
36.0,1237,1054,132.0,6,3,608,97.0,2.0,55.0,4.0,1.0,259,4,692,3038.0,22002.0,3.0,1057,12,3,2,80,0,5.0,3,3,1.0,0,0,0
31.0,1237,1054,746.0,8,4,608,98.0,3.0,61.0,3.0,2.0,145,4,457,4424.0,20682.0,1.0,1057,23,4,4,80,0,11.0,2,3,11.0,7,1,8
35.0,1237,1054,776.0,1,4,159,100.0,3.0,32.0,2.0,2.0,326,1,457,4312.0,23016.0,0.0,1057,14,3,2,80,0,16.0,2,3,15.0,13,2,8
45.0,1237,1054,193.0,6,4,82,101.0,4.0,52.0,3.0,3.0,80,1,692,13245.0,15067.0,4.0,413,14,3,2,80,0,17.0,3,4,0.0,0,0,0
37.0,1237,1054,397.0,7,4,462,102.0,1.0,30.0,3.0,3.0,80,3,457,13664.0,25258.0,4.0,1057,13,3,1,80,0,16.0,3,4,5.0,2,0,2
46.0,1237,1054,945.0,5,2,462,103.0,2.0,80.0,3.0,2.0,52,2,321,5021.0,10425.0,8.0,413,22,4,4,80,1,16.0,2,3,4.0,2,0,2
30.0,1237,1054,852.0,1,1,608,104.0,4.0,55.0,2.0,2.0,259,4,692,5126.0,15998.0,1.0,413,12,3,3,80,2,10.0,1,2,10.0,8,3,0
35.0,1237,1054,1214.0,1,3,462,105.0,2.0,30.0,2.0,1.0,292,3,457,2859.0,26278.0,1.0,1057,18,3,1,80,0,6.0,3,3,6.0,4,0,4
55.0,1237,1054,111.0,1,2,608,106.0,1.0,70.0,3.0,3.0,326,4,692,10239.0,18092.0,3.0,1057,14,3,4,80,1,24.0,4,3,1.0,0,1,0
38.0,1237,147,573.0,6,3,462,107.0,2.0,79.0,1.0,2.0,292,4,321,5329.0,15717.0,7.0,413,12,3,4,80,3,17.0,3,3,13.0,11,1,9
34.0,1237,1054,1153.0,1,2,462,110.0,1.0,94.0,3.0,2.0,145,2,692,4325.0,17736.0,1.0,1057,15,3,3,80,0,5.0,2,3,5.0,2,1,3
56.0,1237,1054,1400.0,7,3,608,112.0,4.0,49.0,1.0,3.0,145,4,457,7260.0,21698.0,4.0,1057,11,3,1,80,0,30.75,3,2,6.0,4,0,2
23.0,1237,1054,541.0,2,1,132,113.0,3.0,62.0,3.0,1.0,83,1,321,2322.0,9518.0,3.0,1057,13,3,3,80,1,3.0,3,3,0.0,0,0,0
51.0,1237,1054,432.0,9,4,608,116.0,4.0,96.0,3.0,1.0,259,4,692,2075.0,18725.0,3.0,1057,23,4,2,80,2,10.0,4,3,4.0,2,0,3
30.0,1237,1054,288.0,2,3,608,117.0,3.0,99.0,2.0,2.0,131,4,692,4152.0,15830.0,1.0,1057,19,3,1,80,3,11.0,3,3,11.0,10,10,8
46.0,233,1054,669.0,9,2,462,118.0,3.0,64.0,2.0,3.0,326,4,457,9619.0,13596.0,1.0,1057,16,3,4,80,0,9.0,3,3,9.0,8,4,7
40.0,1237,269,530.0,1,4,608,119.0,3.0,78.0,2.0,4.0,131,2,692,13503.0,14115.0,1.0,1057,22,4,4,80,1,22.0,3,2,19.5,3,11,11
51.0,1237,1054,632.0,21,4,159,120.0,3.0,71.0,3.0,2.0,326,4,457,5441.0,8423.0,0.0,413,22,4,4,80,0,11.0,2,1,10.0,7,1,0
30.0,1237,1054,1334.0,4,2,462,121.0,3.0,63.0,2.0,2.0,326,2,321,5209.0,19760.0,1.0,413,12,3,2,80,3,11.0,4,2,11.0,8,2,7
46.0,1237,269,638.0,1,3,462,124.0,3.0,40.0,2.0,3.0,131,1,692,10673.0,3142.0,2.0,413,13,3,3,80,1,21.0,5,2,10.0,9,9,5
32.0,1237,1054,1093.0,6,4,462,125.0,2.0,87.0,3.0,2.0,326,3,457,5010.0,24301.0,1.0,1057,16,3,1,80,0,12.0,0,3,11.0,8,5,7
54.0,1237,1054,1217.0,2,4,132,126.0,1.0,60.0,3.0,3.0,80,3,692,13549.0,24001.0,9.0,1057,12,3,1,80,1,16.0,5,1,4.0,3,0,3
24.0,1237,1054,1353.0,3,2,82,128.0,1.0,33.0,3.0,2.0,326,3,692,4999.0,17519.0,0.0,1057,21,4,1,80,1,4.0,2,2,3.0,2,0,2
28.0,1237,147,120.0,4,3,462,129.0,2.0,43.0,3.0,2.0,326,3,692,4221.0,8863.0,1.0,1057,15,3,2,80,0,5.0,3,4,5.0,4,0,4
58.0,1237,1054,682.0,10,4,462,131.0,4.0,37.0,3.0,4.0,326,3,457,13872.0,24409.0,0.0,1057,13,3,3,80,0,30.75,1,2,19.5,10,1,8
44.0,1237,147,489.0,23,3,462,132.0,2.0,67.0,3.0,2.0,259,2,692,2042.0,25043.0,4.0,1057,12,3,3,80,1,17.0,3,4,3.0,2,1,2
37.0,233,1054,807.0,6,4,27,133.0,3.0,63.0,3.0,1.0,52,1,321,2073.0,23648.0,4.0,413,22,4,4,80,0,7.0,3,3,3.0,2,0,2
32.0,1237,1054,827.0,1,1,608,134.0,4.0,71.0,3.0,1.0,292,1,457,2956.0,15178.0,1.0,1057,13,3,4,80,0,1.0,2,3,1.0,0,0,0
20.0,233,269,871.0,6,3,608,137.0,4.0,66.0,2.0,1.0,259,4,457,2926.0,19783.0,1.0,413,18,3,2,80,0,1.0,5,3,1.0,0,1,0
34.0,1237,1054,665.0,6,4,82,138.0,1.0,41.0,3.0,2.0,292,3,457,4809.0,12482.0,1.0,1057,14,3,3,80,0,16.0,3,3,16.0,13,2,10
37.0,1237,147,1040.0,2,2,608,139.0,3.0,100.0,2.0,2.0,131,4,321,5163.0,15850.0,5.0,1057,14,3,4,80,1,17.0,2,4,1.0,0,0,0
59.0,1237,147,1420.0,2,4,27,140.0,3.0,32.0,2.0,5.0,102,4,692,17948.0,21922.0,9.0,1057,21,4,4,80,1,30.0,3,3,3.0,2,2,2
50.0,1237,269,1115.0,1,3,608,141.0,1.0,73.0,3.0,5.0,80,2,692,17948.0,9755.0,3.0,413,19,3,1,80,0,28.0,1,2,8.0,3,0,7
25.0,233,1054,240.0,5,3,159,142.0,3.0,46.0,2.0,2.0,326,3,457,5744.0,26959.0,1.0,413,11,3,4,80,0,6.0,1,3,6.0,4,0,3
25.0,1237,1054,1280.0,7,1,462,143.0,4.0,64.0,2.0,1.0,292,4,692,2889.0,26897.0,1.0,1057,11,3,3,80,2,2.0,2,3,2.0,2,2,1
22.0,1237,1054,534.0,15,3,462,144.0,2.0,59.0,3.0,1.0,259,4,457,2871.0,23785.0,1.0,1057,15,3,3,80,0,1.0,5,3,0.0,0,0,0
51.0,1237,269,1456.0,1,4,462,145.0,1.0,30.0,2.0,3.0,131,1,457,7484.0,25796.0,3.0,1057,20,4,3,80,0,23.0,1,2,13.0,12,12,8
34.0,233,269,658.0,7,3,608,147.0,1.0,66.0,1.0,2.0,259,3,457,6074.0,22887.0,1.0,413,24,4,4,80,0,9.0,3,3,9.0,7,0,6
54.0,1237,147,142.0,26,3,27,148.0,4.0,30.0,4.0,4.0,102,4,457,17328.0,13871.0,2.0,413,12,3,3,80,0,23.0,3,3,5.0,3,4,4
24.0,1237,1054,1127.0,18,1,608,150.0,2.0,52.0,3.0,1.0,259,3,692,2774.0,13257.0,0.0,1057,12,3,3,80,1,6.0,2,3,5.0,3,1,2
34.0,1237,1054,1031.0,6,4,608,151.0,3.0,45.0,2.0,2.0,292,2,321,4505.0,15000.0,6.0,1057,15,3,3,80,1,12.0,3,3,1.0,0,0,0
37.0,1237,1054,1189.0,3,3,608,152.0,3.0,87.0,3.0,3.0,326,4,457,7428.0,14506.0,2.0,1057,12,3,1,80,0,12.0,3,3,5.0,3,1,3
34.0,1237,1054,1354.0,5,3,462,153.0,3.0,45.0,2.0,3.0,102,1,457,11631.0,5615.0,2.0,1057,12,3,4,80,0,14.0,6,3,11.0,10,5,8
36.0,1237,269,1467.0,11,2,132,154.0,2.0,92.0,3.0,3.0,326,4,692,9738.0,22952.0,0.0,1057,14,3,3,80,1,10.0,6,3,9.0,7,2,8
36.0,1237,1054,922.0,3,2,608,155.0,1.0,39.0,3.0,1.0,259,4,321,2835.0,2561.0,5.0,1057,22,4,1,80,1,7.0,2,3,1.0,0,0,0
43.0,1237,269,394.0,26,2,608,158.0,3.0,92.0,3.0,4.0,102,4,692,16959.0,19494.0,1.0,413,12,3,4,80,2,25.0,3,4,19.5,12,4,12
30.0,1237,269,1312.0,23,3,608,159.0,1.0,96.0,1.0,1.0,292,3,321,2613.0,22310.0,1.0,1057,25,4,3,80,3,10.0,2,2,10.0,7,0,9
33.0,1237,147,750.0,22,2,159,160.0,3.0,95.0,3.0,2.0,326,2,692,6146.0,15480.0,0.0,1057,13,3,1,80,1,8.0,2,4,7.0,7,0,7
56.0,233,1054,441.0,14,4,608,161.0,2.0,72.0,3.0,1.0,292,2,692,4963.0,4510.0,9.0,413,18,3,1,80,3,7.0,2,3,5.0,4,4,3
51.0,1237,1054,684.0,6,3,608,162.0,1.0,51.0,3.0,5.0,80,3,457,17948.0,6462.0,7.0,1057,13,3,3,80,0,23.0,5,3,19.5,18,15,15
31.0,233,1054,249.0,6,4,608,163.0,2.0,76.0,1.0,2.0,326,3,692,6172.0,20739.0,4.0,413,18,3,2,80,0,12.0,3,2,7.0,7,7,7
26.0,1237,1054,841.0,6,3,82,164.0,3.0,46.0,2.0,1.0,292,2,692,2368.0,23300.0,1.0,1057,19,3,3,80,0,5.0,3,2,5.0,4,4,3
58.0,233,1054,147.0,23,4,462,165.0,4.0,94.0,3.0,3.0,131,4,692,10312.0,3465.0,1.0,1057,12,3,4,80,1,30.75,3,2,19.5,10,15,6
19.0,233,1054,528.0,22,1,159,167.0,4.0,50.0,3.0,1.0,83,3,457,1675.0,26820.0,1.0,413,19,3,4,80,0,0.0,2,2,0.0,0,0,0
22.0,1237,1054,594.0,2,1,132,169.0,3.0,100.0,3.0,1.0,259,4,692,2523.0,19299.0,0.0,1057,14,3,3,80,1,3.0,2,3,2.0,1,2,1
49.0,1237,1054,470.0,20,4,462,170.0,3.0,96.0,3.0,2.0,145,1,692,6567.0,5549.0,1.0,1057,14,3,3,80,0,16.0,2,2,15.0,11,5,11
43.0,1237,269,957.0,28,3,462,171.0,2.0,72.0,4.0,1.0,292,3,457,4739.0,16090.0,4.0,1057,12,3,4,80,0,18.0,2,3,3.0,2,1,2
50.0,1237,269,809.0,12,3,159,174.0,3.0,77.0,3.0,3.0,326,4,457,9208.0,6645.0,4.0,1057,11,3,4,80,0,16.0,3,3,2.0,2,2,1
31.0,233,1054,542.0,20,3,608,175.0,2.0,71.0,1.0,2.0,326,3,692,4559.0,24788.0,3.0,413,11,3,3,80,1,4.0,2,3,2.0,2,2,2
41.0,1237,1054,802.0,9,1,608,176.0,3.0,96.0,3.0,3.0,326,3,321,8189.0,21196.0,3.0,413,13,3,3,80,1,12.0,2,3,9.0,7,0,7
26.0,1237,1054,1355.0,25,1,608,177.0,3.0,61.0,3.0,1.0,52,3,692,2942.0,8916.0,1.0,1057,23,4,4,80,1,8.0,3,3,8.0,7,5,7
36.0,1237,1054,216.0,6,2,462,178.0,2.0,84.0,3.0,2.0,145,2,321,4941.0,2819.0,6.0,1057,20,4,4,80,2,7.0,0,3,3.0,2,0,1
51.0,233,1054,1150.0,8,4,608,179.0,1.0,53.0,1.0,3.0,145,4,457,10650.0,25150.0,2.0,1057,15,3,4,80,0,18.0,2,3,4.0,2,0,3
39.0,1237,1054,1329.0,4,4,608,182.0,4.0,47.0,2.0,2.0,326,3,692,5902.0,14590.0,4.0,1057,14,3,3,80,1,17.0,1,4,15.0,11,5,9
25.0,1237,1054,959.0,28,3,608,183.0,1.0,41.0,2.0,2.0,326,3,692,8639.0,24835.0,2.0,1057,18,3,4,80,0,6.0,3,3,2.0,2,2,2
30.0,1237,1054,1240.0,9,3,27,184.0,3.0,48.0,3.0,2.0,52,4,692,6347.0,13982.0,0.0,413,19,3,4,80,0,12.0,2,1,11.0,9,4,7
32.0,233,1054,1033.0,9,3,462,190.0,1.0,41.0,3.0,1.0,259,1,457,4200.0,10224.0,7.0,1057,22,4,1,80,0,10.0,2,4,5.0,4,0,4
45.0,1237,1054,1316.0,29,3,462,192.0,3.0,83.0,3.0,1.0,292,4,457,3452.0,9752.0,5.0,1057,13,3,2,80,0,9.0,2,2,6.0,5,0,3
38.0,1237,1054,364.0,3,5,132,193.0,4.0,32.0,3.0,2.0,292,3,457,4317.0,2302.0,3.0,413,20,4,2,80,0,19.0,2,3,3.0,2,2,2
30.0,1237,1054,438.0,18,3,608,194.0,1.0,75.0,3.0,1.0,292,3,457,2632.0,23910.0,1.0,1057,14,3,3,80,0,5.0,4,2,5.0,4,0,4
32.0,1237,1054,689.0,9,2,462,195.0,4.0,35.0,1.0,2.0,326,4,321,4668.0,22812.0,0.0,1057,17,3,4,80,3,9.0,2,4,8.0,7,0,7
30.0,1237,1054,201.0,5,3,132,197.0,4.0,84.0,3.0,1.0,292,1,321,3204.0,10415.0,5.0,1057,14,3,4,80,1,8.0,3,3,3.0,2,2,2
30.0,1237,1054,1427.0,2,1,462,198.0,2.0,35.0,2.0,1.0,259,4,457,2720.0,11162.0,0.0,1057,13,3,4,80,0,6.0,3,3,5.0,3,1,2
41.0,1237,1054,857.0,10,3,608,199.0,4.0,91.0,2.0,4.0,102,1,321,17181.0,12888.0,4.0,1057,13,3,2,80,1,21.0,2,2,7.0,6,7,7
